cell_line,reported_sex,"XIST_expression (log thresholds = 6,8)",XIST_expression_category,"DDX3Y_expression (log thresholds = 6,7)",DDX3Y_expression_category,"EIF1AY_expression (log thresholds = 5,6)",EIF1AY_expression_category,"KDM5D_expression (log thresholds = 5,6)",KDM5D_expression_category,"NLGN4Y_expression (log thresholds = 4,5)",NLGN4Y_expression_category,"RPS4Y1_expression (log thresholds = 6,8)",RPS4Y1_expression_category,"TMSB4Y_expression (log thresholds = 2.5,3)",TMSB4Y_expression_category,"USP9Y_expression (log thresholds = 4,5)",USP9Y_expression_category,"UTY_expression (log thresholds = 4,5)",UTY_expression_category,"ZFY_expression (log thresholds = 4,5)",ZFY_expression_category
HH_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,55,male_range,26,female_range,4,female_range,6,female_range,0,female_range,37,female_range,4,female_range,6,female_range,6,female_range,0,female_range
HL60_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,719,intermediate_expression,51,female_range,20,female_range,22,female_range,30,female_range,165,female_range,3,female_range,29,female_range,10,female_range,6,female_range
HLFA_FIBROBLAST,female,36001,high_expression,15,female_range,4,female_range,7,female_range,2,female_range,33,female_range,1,female_range,1,female_range,4,female_range,6,female_range
HLF_LIVER,male,19947,high_expression,14,female_range,4,female_range,4,female_range,48,female_range,33,female_range,0,female_range,2,female_range,8,female_range,3,female_range
HMC18_BREAST,female,55,male_range,32,female_range,4,female_range,8,female_range,4,female_range,41,female_range,0,female_range,2,female_range,5,female_range,2,female_range
HMCB_SKIN,NA,30065,high_expression,38,female_range,4,female_range,10,female_range,47,female_range,41,female_range,0,female_range,10,female_range,3,female_range,4,female_range
HMEL_BREAST,NA,65242,high_expression,21,female_range,3,female_range,4,female_range,44,female_range,32,female_range,0,female_range,4,female_range,6,female_range,2,female_range
HNT34_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,52952,high_expression,30,female_range,12,female_range,11,female_range,0,female_range,31,female_range,1,female_range,9,female_range,4,female_range,2,female_range
HOP62_LUNG,NA,38,male_range,11,female_range,6,female_range,2,female_range,5,female_range,20,female_range,2,female_range,9,female_range,3,female_range,0,female_range
HOP92_LUNG,NA,61,male_range,21,female_range,8,female_range,2,female_range,4,female_range,58,female_range,8,female_range,12,female_range,4,female_range,0,female_range
HOS_BONE,female,43,male_range,30,female_range,3,female_range,4,female_range,5,female_range,41,female_range,4,female_range,2,female_range,7,female_range,10,female_range
HPAC_PANCREAS,female,44,male_range,7,female_range,3,female_range,4,female_range,2,female_range,43,female_range,0,female_range,8,female_range,5,female_range,2,female_range
HPAFII_PANCREAS,male,80,male_range,25,female_range,6,female_range,7,female_range,6,female_range,44,female_range,0,female_range,8,female_range,7,female_range,9,female_range
HPBALL_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,48,male_range,32101,high_expression,7372,high_expression,15129,high_expression,20,female_range,67821,high_expression,541,high_expression,10910,high_expression,5678,high_expression,2088,high_expression
HS172T_FIBROBLAST,male,96,male_range,13721,high_expression,6183,high_expression,3983,high_expression,1383,high_expression,16463,high_expression,71,high_expression,14126,high_expression,2172,high_expression,3633,high_expression
HS229T_FIBROBLAST,male,49,male_range,8690,high_expression,4192,high_expression,3132,high_expression,1261,high_expression,35476,high_expression,72,high_expression,3925,high_expression,1194,high_expression,2713,high_expression
HS255T_FIBROBLAST,female,45385,high_expression,26,female_range,8,female_range,10,female_range,4,female_range,63,female_range,0,female_range,10,female_range,3,female_range,14,female_range
HS274T_FIBROBLAST,female,15824,high_expression,12,female_range,4,female_range,1,female_range,2,female_range,72,female_range,2,female_range,6,female_range,2,female_range,6,female_range
HS281T_FIBROBLAST,female,42417,high_expression,15,female_range,1,female_range,9,female_range,2,female_range,50,female_range,2,female_range,6,female_range,1,female_range,4,female_range
HS294T_SKIN,male,23266,high_expression,13,female_range,7,female_range,3,female_range,436,high_expression,38,female_range,0,female_range,5,female_range,3,female_range,5,female_range
HS343T_FIBROBLAST,female,33192,high_expression,37,female_range,4,female_range,6,female_range,4,female_range,40,female_range,6,female_range,6,female_range,2,female_range,2,female_range
HS578T_BREAST,female,50,male_range,11,female_range,0,female_range,1,female_range,6,female_range,33,female_range,2,female_range,5,female_range,3,female_range,7,female_range
HS600T_FIBROBLAST,NA,35,male_range,13212,high_expression,2799,high_expression,3748,high_expression,3003,high_expression,18851,high_expression,55,high_expression,4447,high_expression,1302,high_expression,2299,high_expression
HS606T_FIBROBLAST,female,36425,high_expression,27,female_range,2,female_range,5,female_range,0,female_range,68,female_range,0,female_range,6,female_range,10,female_range,7,female_range
HS611T_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,92666,high_expression,46,female_range,5,female_range,9,female_range,0,female_range,51,female_range,1,female_range,12,female_range,2,female_range,4,female_range
HS616T_FIBROBLAST,male,36,male_range,13104,high_expression,3321,high_expression,5726,high_expression,3874,high_expression,28944,high_expression,90,high_expression,7065,high_expression,2037,high_expression,3084,high_expression
HS618T_FIBROBLAST,female,38568,high_expression,26,female_range,2,female_range,4,female_range,0,female_range,49,female_range,0,female_range,5,female_range,4,female_range,5,female_range
HS675T_FIBROBLAST,male,68,male_range,10756,high_expression,4761,high_expression,5790,high_expression,780,high_expression,36902,high_expression,7,female_range,8834,high_expression,1918,high_expression,2348,high_expression
HS683_CENTRAL_NERVOUS_SYSTEM,male,196,male_range,14290,high_expression,4965,high_expression,6899,high_expression,2883,high_expression,31861,high_expression,164,high_expression,6858,high_expression,2656,high_expression,2782,high_expression
HS688AT_FIBROBLAST,male,42,male_range,7825,high_expression,2281,high_expression,4633,high_expression,3782,high_expression,24720,high_expression,45,high_expression,4811,high_expression,1365,high_expression,2402,high_expression
HS695T_SKIN,male,61,male_range,17327,high_expression,3341,high_expression,5560,high_expression,1758,high_expression,32757,high_expression,134,high_expression,3575,high_expression,2845,high_expression,2442,high_expression
HS698T_FIBROBLAST,male,31,male_range,17,female_range,5,female_range,14,female_range,4,female_range,48,female_range,2,female_range,14,female_range,10,female_range,2,female_range
HS706T_BONE,female,50194,high_expression,24,female_range,7,female_range,10,female_range,11,female_range,52,female_range,0,female_range,8,female_range,6,female_range,5,female_range
HS729_SOFT_TISSUE,male,46,male_range,17764,high_expression,158,intermediate_expression,6470,high_expression,13941,high_expression,40588,high_expression,264,high_expression,10698,high_expression,2846,high_expression,3682,high_expression
HS737T_FIBROBLAST,female,30155,high_expression,17,female_range,4,female_range,5,female_range,0,female_range,34,female_range,2,female_range,5,female_range,2,female_range,5,female_range
HS739T_FIBROBLAST,female,48575,high_expression,39,female_range,6,female_range,8,female_range,0,female_range,28,female_range,0,female_range,16,female_range,3,female_range,11,female_range
HS742T_FIBROBLAST,female,13461,high_expression,27,female_range,6,female_range,5,female_range,0,female_range,36,female_range,2,female_range,2,female_range,4,female_range,3,female_range
HS746T_STOMACH,male,26,male_range,18022,high_expression,2237,high_expression,3559,high_expression,208,high_expression,2130,intermediate_expression,162,high_expression,5060,high_expression,1516,high_expression,2096,high_expression
HS751T_FIBROBLAST,NA,58,male_range,12316,high_expression,2091,high_expression,6109,high_expression,1942,high_expression,24176,high_expression,48,high_expression,6296,high_expression,1619,high_expression,2644,high_expression
HS766T_PANCREAS,male,36,male_range,11,female_range,2,female_range,1,female_range,0,female_range,37,female_range,2,female_range,3,female_range,4,female_range,4,female_range
HS819T_FIBROBLAST,male,30788,high_expression,15,female_range,6,female_range,8,female_range,0,female_range,40,female_range,0,female_range,6,female_range,4,female_range,0,female_range
HS821T_FIBROBLAST,female,32247,high_expression,24,female_range,3,female_range,4,female_range,3,female_range,48,female_range,2,female_range,5,female_range,5,female_range,5,female_range
HS822T_FIBROBLAST,female,30255,high_expression,10,female_range,4,female_range,7,female_range,2,female_range,40,female_range,0,female_range,7,female_range,3,female_range,5,female_range
HS834T_FIBROBLAST,NA,22321,high_expression,19,female_range,7,female_range,8,female_range,0,female_range,44,female_range,0,female_range,5,female_range,1,female_range,2,female_range
HS839T_FIBROBLAST,female,30350,high_expression,20,female_range,8,female_range,5,female_range,0,female_range,41,female_range,4,female_range,11,female_range,4,female_range,6,female_range
HS840T_FIBROBLAST,male,48,male_range,11222,high_expression,3320,high_expression,4484,high_expression,1249,high_expression,24866,high_expression,38,high_expression,5138,high_expression,1158,high_expression,2146,high_expression
HS852T_SKIN,NA,47,male_range,6191,high_expression,5402,high_expression,3545,high_expression,1971,high_expression,33125,high_expression,156,high_expression,1615,high_expression,2025,high_expression,1550,high_expression
HS863T_FIBROBLAST,female,48222,high_expression,17,female_range,5,female_range,5,female_range,7,female_range,54,female_range,0,female_range,4,female_range,0,female_range,9,female_range
HS870T_FIBROBLAST,NA,33,male_range,18875,high_expression,5981,high_expression,5159,high_expression,2957,high_expression,39482,high_expression,87,high_expression,6760,high_expression,1391,high_expression,3536,high_expression
HS888T_FIBROBLAST,male,27,male_range,16418,high_expression,4599,high_expression,6254,high_expression,2422,high_expression,34384,high_expression,38,high_expression,6729,high_expression,1640,high_expression,3279,high_expression
HS895T_FIBROBLAST,female,72792,high_expression,9,female_range,3,female_range,8,female_range,0,female_range,31,female_range,7,female_range,1,female_range,4,female_range,6,female_range
HS934T_FIBROBLAST,female,33545,high_expression,24,female_range,4,female_range,3,female_range,6,female_range,33,female_range,2,female_range,11,female_range,2,female_range,6,female_range
HS936T_SKIN,male,13,male_range,18143,high_expression,6923,high_expression,9382,high_expression,627,high_expression,51189,high_expression,27,high_expression,6462,high_expression,4005,high_expression,2350,high_expression
HS939T_SKIN,female,39350,high_expression,15,female_range,4,female_range,6,female_range,3,female_range,44,female_range,1,female_range,7,female_range,2,female_range,6,female_range
HS940T_FIBROBLAST,male,37,male_range,15941,high_expression,3845,high_expression,5873,high_expression,973,high_expression,26768,high_expression,40,high_expression,8305,high_expression,1706,high_expression,2790,high_expression
HS944T_SKIN,male,158,male_range,11436,high_expression,3761,high_expression,2968,high_expression,236,high_expression,43078,high_expression,111,high_expression,2014,high_expression,968,high_expression,1723,high_expression
HSC2_UPPER_AERODIGESTIVE_TRACT,male,41,male_range,2478,high_expression,594,high_expression,866,high_expression,478,high_expression,9855,high_expression,37,high_expression,1243,high_expression,676,high_expression,334,high_expression
HSC3_UPPER_AERODIGESTIVE_TRACT,male,19,male_range,11867,high_expression,2823,high_expression,2841,high_expression,672,high_expression,25827,high_expression,58,high_expression,4137,high_expression,1611,high_expression,1953,high_expression
HSC4_UPPER_AERODIGESTIVE_TRACT,male,256,male_range,52,female_range,8,female_range,33,female_range,6,female_range,152,female_range,2,female_range,20,female_range,11,female_range,1,female_range
HT1080_SOFT_TISSUE,male,41,male_range,23519,high_expression,4299,high_expression,5068,high_expression,641,high_expression,59889,high_expression,4,female_range,3316,high_expression,1237,high_expression,2368,high_expression
HT115_LARGE_INTESTINE,NA,53,male_range,49,female_range,0,female_range,15,female_range,0,female_range,47,female_range,0,female_range,20,female_range,0,female_range,5,female_range
HT1197_URINARY_TRACT,male,24698,high_expression,18336,high_expression,3978,high_expression,5490,high_expression,309,high_expression,59309,high_expression,110,high_expression,164,high_expression,3309,high_expression,2089,high_expression
HT1376_URINARY_TRACT,female,95,male_range,21,female_range,2,female_range,3,female_range,8,female_range,30,female_range,0,female_range,10,female_range,2,female_range,7,female_range
HT144_SKIN,male,101,male_range,19,female_range,8,female_range,8,female_range,38,female_range,65345,high_expression,0,female_range,2,female_range,0,female_range,3541,high_expression
HT29_LARGE_INTESTINE,female,19455,high_expression,9,female_range,2,female_range,17,female_range,2,female_range,20,female_range,1,female_range,3,female_range,1,female_range,0,female_range
HT55_LARGE_INTESTINE,NA,22202,high_expression,15,female_range,8,female_range,4,female_range,2,female_range,29,female_range,2,female_range,14,female_range,3,female_range,6,female_range
HT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,93,male_range,30403,high_expression,8373,high_expression,11281,high_expression,0,female_range,63807,high_expression,52,high_expression,8881,high_expression,3838,high_expression,2310,high_expression
HUCCT1_BILIARY_TRACT,male,41,male_range,6434,high_expression,5829,high_expression,1182,high_expression,2,female_range,43905,high_expression,224,high_expression,2976,high_expression,809,high_expression,1692,high_expression
HUG1N_STOMACH,male,50,male_range,27,female_range,17,female_range,9,female_range,0,female_range,40,female_range,0,female_range,16,female_range,2,female_range,1,female_range
HUH1_LIVER,male,871,intermediate_expression,12367,high_expression,2177,high_expression,3721,high_expression,11,female_range,27887,high_expression,102,high_expression,3316,high_expression,1476,high_expression,1554,high_expression
HUH28_BILIARY_TRACT,NA,30894,high_expression,22,female_range,3,female_range,18,female_range,24,female_range,113,female_range,0,female_range,7,female_range,4,female_range,9,female_range
HUH6_LIVER,male,131,male_range,16616,high_expression,4813,high_expression,9392,high_expression,997,high_expression,29012,high_expression,8,female_range,3175,high_expression,2361,high_expression,2832,high_expression
HUH7_LIVER,male,55271,high_expression,22,female_range,8,female_range,14,female_range,2,female_range,39,female_range,0,female_range,12,female_range,7,female_range,2,female_range
HUNS1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,45,male_range,21219,high_expression,10679,high_expression,14880,high_expression,509,high_expression,39373,high_expression,762,high_expression,6136,high_expression,3225,high_expression,2715,high_expression
HUPT3_PANCREAS,male,45,male_range,5761,high_expression,2996,high_expression,3559,high_expression,1227,high_expression,27310,high_expression,122,high_expression,3003,high_expression,1594,high_expression,1109,high_expression
HUPT4_PANCREAS,male,31,male_range,17,female_range,5,female_range,10,female_range,2,female_range,19,female_range,0,female_range,3,female_range,4,female_range,3,female_range
HUT102_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,50,male_range,32690,high_expression,8032,high_expression,14172,high_expression,1612,high_expression,29679,high_expression,273,high_expression,11555,high_expression,4837,high_expression,2769,high_expression
HUT78_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,85,male_range,31,female_range,11013,high_expression,8724,high_expression,0,female_range,45149,high_expression,0,female_range,0,female_range,6,female_range,2343,high_expression
HUTU80_SMALL_INTESTINE,male,30,male_range,20980,high_expression,4274,high_expression,8165,high_expression,110,intermediate_expression,55114,high_expression,658,high_expression,3784,high_expression,2695,high_expression,2543,high_expression
IALM_LUNG,male,30,male_range,3,female_range,9739,high_expression,12497,high_expression,519,high_expression,22,female_range,0,female_range,8,female_range,4,female_range,8,female_range
IGR1_SKIN,male,59,male_range,14024,high_expression,5181,high_expression,5967,high_expression,23,female_range,55417,high_expression,55,high_expression,3412,high_expression,2131,high_expression,2281,high_expression
IGR37_SKIN,male,39,male_range,19025,high_expression,5304,high_expression,7942,high_expression,189,high_expression,55920,high_expression,76,high_expression,2597,high_expression,4283,high_expression,3387,high_expression
IGR39_SKIN,male,42,male_range,16042,high_expression,3829,high_expression,5491,high_expression,202,high_expression,62188,high_expression,117,high_expression,5598,high_expression,4577,high_expression,3053,high_expression
IGROV1_OVARY,female,40,male_range,97,female_range,33,female_range,32,female_range,19,female_range,181,female_range,0,female_range,39,female_range,15,female_range,33,female_range
IM95_STOMACH,male,19,male_range,10,female_range,5,female_range,2,female_range,8,female_range,21,female_range,0,female_range,4,female_range,0,female_range,1,female_range
IMR32_AUTONOMIC_GANGLIA,male,57,male_range,16930,high_expression,3995,high_expression,5435,high_expression,2347,high_expression,53405,high_expression,1,female_range,4217,high_expression,2231,high_expression,1144,high_expression
INA6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,323,male_range,10568,high_expression,8690,high_expression,14806,high_expression,12,female_range,20195,high_expression,266,high_expression,1245,high_expression,3513,high_expression,1663,high_expression
IOMMLEE_CENTRAL_NERVOUS_SYSTEM,NA,19,male_range,25,female_range,0,female_range,4,female_range,0,female_range,18,female_range,1,female_range,8,female_range,5,female_range,1,female_range
IPC298_SKIN,female,14,male_range,4,female_range,0,female_range,1,female_range,2,female_range,33,female_range,0,female_range,2,female_range,1,female_range,2,female_range
ISHIKAWAHERAKLIO02ER_ENDOMETRIUM,female,2460,intermediate_expression,15,female_range,10,female_range,6,female_range,2,female_range,31,female_range,2,female_range,5,female_range,6,female_range,0,female_range
ISTMES1_PLEURA,female,19859,high_expression,19,female_range,2,female_range,2,female_range,2,female_range,28,female_range,1,female_range,1,female_range,4,female_range,2,female_range
ISTMES2_PLEURA,male,124,male_range,19956,high_expression,5530,high_expression,6444,high_expression,2120,high_expression,47520,high_expression,0,female_range,5706,high_expression,2361,high_expression,3305,high_expression
J82_URINARY_TRACT,male,53,male_range,8983,high_expression,3928,high_expression,3070,high_expression,468,high_expression,30014,high_expression,90,high_expression,2548,high_expression,1595,high_expression,2496,high_expression
JEKO1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,57362,high_expression,36,female_range,2,female_range,2,female_range,0,female_range,56,female_range,2,female_range,9,female_range,4,female_range,2,female_range
JHESOAD1_OESOPHAGUS,male,46,male_range,20,female_range,8,female_range,0,female_range,1,female_range,23,female_range,2,female_range,4,female_range,0,female_range,2,female_range
JHH1_LIVER,male,142,male_range,17,female_range,2,female_range,7,female_range,1,female_range,21,female_range,0,female_range,8,female_range,4,female_range,2,female_range
JHH2_LIVER,male,67,male_range,13150,high_expression,6114,high_expression,7469,high_expression,3680,high_expression,63058,high_expression,41,high_expression,1348,high_expression,3954,high_expression,5019,high_expression
JHH4_LIVER,male,27745,high_expression,19,female_range,2,female_range,11,female_range,104,intermediate_expression,22,female_range,4,female_range,3,female_range,0,female_range,2,female_range
JHH5_LIVER,male,37,male_range,18112,high_expression,2689,high_expression,4651,high_expression,192,high_expression,39023,high_expression,201,high_expression,3448,high_expression,1936,high_expression,1973,high_expression
JHH6_LIVER,female,49,male_range,4,female_range,4,female_range,14,female_range,0,female_range,34,female_range,0,female_range,8,female_range,3,female_range,4,female_range
JHH7_LIVER,male,39,male_range,15592,high_expression,4211,high_expression,5182,high_expression,2,female_range,25244,high_expression,0,female_range,6,female_range,1321,high_expression,939,high_expression
JHOC5_OVARY,female,47,male_range,28,female_range,5,female_range,0,female_range,1,female_range,42,female_range,0,female_range,14,female_range,4,female_range,8,female_range
JHOM1_OVARY,female,68051,high_expression,21,female_range,2,female_range,8,female_range,2,female_range,46,female_range,0,female_range,4,female_range,4,female_range,5,female_range
JHOM2B_OVARY,female,120060,high_expression,21,female_range,12,female_range,20,female_range,2,female_range,101,female_range,0,female_range,10,female_range,7,female_range,6,female_range
JHOS2_OVARY,female,91796,high_expression,37,female_range,8,female_range,10,female_range,2,female_range,49,female_range,2,female_range,15,female_range,8,female_range,0,female_range
JHOS4_OVARY,female,25715,high_expression,37,female_range,8,female_range,9,female_range,20,female_range,84,female_range,3,female_range,11,female_range,6,female_range,4,female_range
JHUEM1_ENDOMETRIUM,female,84,male_range,32,female_range,4,female_range,21,female_range,15,female_range,37,female_range,2,female_range,9,female_range,4,female_range,9,female_range
JHUEM2_ENDOMETRIUM,female,52,male_range,23,female_range,0,female_range,14,female_range,3,female_range,23,female_range,4,female_range,3,female_range,6,female_range,4,female_range
JHUEM3_ENDOMETRIUM,NA,67045,high_expression,54,female_range,29,female_range,26,female_range,7,female_range,185,female_range,2,female_range,16,female_range,19,female_range,26,female_range
JHUEM7_ENDOMETRIUM,female,26182,high_expression,10,female_range,2,female_range,6,female_range,128,intermediate_expression,21,female_range,1,female_range,8,female_range,0,female_range,4,female_range
JIMT1_BREAST,female,42,male_range,11,female_range,10,female_range,5,female_range,0,female_range,27,female_range,2,female_range,9,female_range,2,female_range,2,female_range
JJN3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,32,male_range,21,female_range,6,female_range,6,female_range,2,female_range,36,female_range,2,female_range,9,female_range,4,female_range,0,female_range
JK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,37,male_range,24026,high_expression,30435,high_expression,20483,high_expression,0,female_range,43372,high_expression,301,high_expression,3,female_range,6545,high_expression,3153,high_expression
JL1_PLEURA,male,31,male_range,10436,high_expression,1887,high_expression,3166,high_expression,2409,high_expression,40866,high_expression,0,female_range,3027,high_expression,1301,high_expression,1687,high_expression
JM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,63,male_range,28614,high_expression,13944,high_expression,9109,high_expression,79,intermediate_expression,34968,high_expression,310,high_expression,14428,high_expression,2181,high_expression,2938,high_expression
JMSU1_URINARY_TRACT,male,65,male_range,14,female_range,8,female_range,8,female_range,0,female_range,42,female_range,0,female_range,7,female_range,7,female_range,5,female_range
JURKAT_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,56,male_range,2669,high_expression,3012,high_expression,3586,high_expression,2,female_range,12338,high_expression,164,high_expression,2535,high_expression,2154,high_expression,458,high_expression
JURLMK1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,70,male_range,18069,high_expression,6585,high_expression,6562,high_expression,2,female_range,59798,high_expression,196,high_expression,2223,high_expression,3841,high_expression,988,high_expression
JVM2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,84412,high_expression,15,female_range,6,female_range,6,female_range,2,female_range,33,female_range,1,female_range,7,female_range,2,female_range,4,female_range
JVM3_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,160,male_range,13101,high_expression,4414,high_expression,5645,high_expression,1543,high_expression,21982,high_expression,579,high_expression,4682,high_expression,4934,high_expression,2435,high_expression
K029AX_SKIN,NA,30,male_range,17,female_range,0,female_range,3,female_range,0,female_range,37,female_range,0,female_range,0,female_range,0,female_range,2,female_range
K562_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,39363,high_expression,23,female_range,6,female_range,7,female_range,1,female_range,24,female_range,1,female_range,6,female_range,3,female_range,3,female_range
KALS1_CENTRAL_NERVOUS_SYSTEM,female,44832,high_expression,12,female_range,2,female_range,5,female_range,51,female_range,31,female_range,2,female_range,12,female_range,0,female_range,3,female_range
KARPAS299_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,48,male_range,8734,high_expression,5394,high_expression,9,female_range,0,female_range,35187,high_expression,163,high_expression,6,female_range,2193,high_expression,2665,high_expression
KARPAS422_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,66242,high_expression,7,female_range,2,female_range,7,female_range,37,female_range,32,female_range,0,female_range,0,female_range,6,female_range,2,female_range
KARPAS620_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,79,male_range,37,female_range,7,female_range,9,female_range,29,female_range,84,female_range,2,female_range,7,female_range,12,female_range,7,female_range
KASUMI1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,93,male_range,40,female_range,7,female_range,16,female_range,0,female_range,61,female_range,0,female_range,6,female_range,7,female_range,4,female_range
KASUMI2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,37,male_range,751,intermediate_expression,233,intermediate_expression,10,female_range,62,intermediate_expression,1444,intermediate_expression,15,intermediate_expression,495,high_expression,174,high_expression,142,intermediate_expression
KASUMI6_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,42,male_range,26106,high_expression,4324,high_expression,17526,high_expression,62,intermediate_expression,34,female_range,578,high_expression,6970,high_expression,3321,high_expression,1662,high_expression
KATOIII_STOMACH,male,24,male_range,13,female_range,4,female_range,4,female_range,0,female_range,33,female_range,0,female_range,6,female_range,8,female_range,0,female_range
KCL22_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,96905,high_expression,13,female_range,2,female_range,3,female_range,0,female_range,27,female_range,0,female_range,6,female_range,5,female_range,5,female_range
KD_SOFT_TISSUE,NA,40289,high_expression,5,female_range,6,female_range,0,female_range,0,female_range,27,female_range,0,female_range,0,female_range,1,female_range,4,female_range
KE37_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,59,male_range,11251,high_expression,5387,high_expression,13361,high_expression,0,female_range,35313,high_expression,337,high_expression,7224,high_expression,4097,high_expression,2078,high_expression
KE39_STOMACH,male,25,male_range,11,female_range,6,female_range,8,female_range,0,female_range,21,female_range,0,female_range,0,female_range,0,female_range,1,female_range
KE97_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,48,male_range,16,female_range,12,female_range,7,female_range,0,female_range,118,female_range,3,female_range,5,female_range,12,female_range,7,female_range
KELLY_AUTONOMIC_GANGLIA,NA,28,male_range,16,female_range,4,female_range,8,female_range,77,intermediate_expression,27,female_range,0,female_range,10,female_range,2,female_range,1,female_range
KG1C_CENTRAL_NERVOUS_SYSTEM,male,64,male_range,18908,high_expression,3655,high_expression,4596,high_expression,3970,high_expression,87699,high_expression,113,high_expression,6524,high_expression,2785,high_expression,6110,high_expression
KG1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,47,male_range,15937,high_expression,9045,high_expression,28249,high_expression,0,female_range,27066,high_expression,230,high_expression,7032,high_expression,4222,high_expression,2023,high_expression
KHM1B_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,12797,high_expression,15,female_range,4,female_range,9,female_range,0,female_range,36,female_range,0,female_range,4,female_range,0,female_range,2,female_range
KIJK_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,46,male_range,7495,high_expression,2604,high_expression,2839,high_expression,0,female_range,36707,high_expression,20,intermediate_expression,2335,high_expression,1137,high_expression,1922,high_expression
KLE_ENDOMETRIUM,female,7560,high_expression,33,female_range,2,female_range,17,female_range,4,female_range,62,female_range,0,female_range,7,female_range,13,female_range,4,female_range
KM12_LARGE_INTESTINE,NA,35,male_range,22,female_range,7,female_range,0,female_range,3,female_range,29,female_range,0,female_range,2,female_range,5,female_range,6,female_range
KMBC2_URINARY_TRACT,NA,37,male_range,16,female_range,5,female_range,8,female_range,0,female_range,32,female_range,0,female_range,6,female_range,2,female_range,0,female_range
KMH2_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,44,male_range,10,female_range,4,female_range,7,female_range,9,female_range,53,female_range,1,female_range,11,female_range,6,female_range,6,female_range
KMM1_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,90,male_range,9,female_range,5,female_range,6,female_range,0,female_range,38,female_range,0,female_range,6,female_range,8,female_range,4,female_range
KMRC1_KIDNEY,male,70,male_range,27,female_range,6,female_range,12,female_range,0,female_range,59,female_range,3,female_range,2,female_range,2,female_range,2,female_range
KMRC20_KIDNEY,NA,73369,high_expression,19,female_range,2,female_range,4,female_range,0,female_range,63,female_range,0,female_range,15,female_range,9,female_range,0,female_range
KMRC2_KIDNEY,male,37,male_range,18,female_range,9,female_range,2,female_range,0,female_range,51,female_range,6,female_range,4,female_range,0,female_range,4,female_range
KMRC3_KIDNEY,male,53,male_range,11260,high_expression,3211,high_expression,5660,high_expression,2750,high_expression,29018,high_expression,146,high_expression,7540,high_expression,2034,high_expression,2255,high_expression
KMS11_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,15,male_range,10,female_range,8,female_range,6,female_range,3,female_range,19,female_range,0,female_range,6,female_range,4,female_range,2,female_range
KMS12BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,19,male_range,9,female_range,1,female_range,5,female_range,2,female_range,25,female_range,0,female_range,17,female_range,3,female_range,3,female_range
KMS18_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,NA,50,male_range,13,female_range,4,female_range,9,female_range,2,female_range,27,female_range,0,female_range,6,female_range,3,female_range,4,female_range
KMS20_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,female,207,male_range,38,female_range,8,female_range,17,female_range,8,female_range,73,female_range,4,female_range,4,female_range,7,female_range,8,female_range
KMS21BM_HAEMATOPOIETIC_AND_LYMPHOID_TISSUE,male,88521,high_expression,15,female_range,4,female_range,7,female_range,4,female_range,38,female_range,0,female_range,2,female_range,7,female_range,4,female_range
